Timestamp,Are you a student or a professor?,Which cohort are you in? (For students),Have you heard about the GIMM260 Jack Memes?,Do you know Professor Polifka?,"Have any of your peers or colleagues mentioned these memes to you, even if you haven't seen them?",Would you be interested in viewing these memes to provide further feedback on them?,Are you in the GIMM 260 Discord?,Have you ever shared or forwarded any of these memes?,Which style of meme have you encountered the most?,Which style of meme do you find the most amusing or interesting?,Do you think these memes well represent the culture of GIMM?,"Do these memes bring about a sense of unity or division among students and professors, in your opinion?",Do you believe the memes are:,How do you think Jack feels about these memes?,Please share any additional thoughts or insights about the GIMM260 Jack Memes.
10/10/2023 13:42:22,Student,8th,Yes,,,,Yes,No,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Yes,Neutral / No Impact,In good humor?,Amused,
10/10/2023 13:45:18,Student,6th,No,I've taken one of his classes,Yes,Yes,,,,,,,,,
10/10/2023 13:47:03,Student,8th,No,I've taken one of his classes,Yes,Yes,,,,,,,,,
10/10/2023 13:53:25,Student,7th,Yes,,,,Not Yet (click the link),No,Jack's face on a famous character,The Steel Blue Wars and Gear Grinding,Unsure,Neutral / No Impact,Neutral,Unsure,"I feel loke it's toeing the line, one bad choice from going terribly wrong"
10/10/2023 13:59:01,Student,Alumni,Yes,,,,Yes,No,Jack's face on a famous character,Jack's face on a famous character,Yes,Unity,In good humor?,Amused,
10/10/2023 14:00:12,Professor,9th,Yes,,,,Not Yet (click the link),No,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Unsure,Unity,In good humor?,Amused,
10/10/2023 14:03:40,Student,8th,Yes,,,,Yes,No,Jack's face on a famous character,Jack's face on a famous character,Unsure,Unity,In good humor?,Amused,
10/10/2023 14:05:14,Student,8th,Yes,,,,Yes,No,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Unsure,Neutral / No Impact,In good humor?,Indifferent,
10/10/2023 14:11:38,Student,9th,No,I don't,No,No,,,,,,,,,
10/10/2023 14:14:45,Student,6th,No,I've taken one of his classes,Yes,Yes,,,,,,,,,
10/10/2023 14:17:15,Student,8th,Yes,,,,Yes,No,Jack's face in a popular meme format,Popular meme and 3D sphere,Yes,Unity,In good humor?,Amused,
10/10/2023 14:18:55,Student,7th,Yes,,,,Not Yet (click the link),No,Jack's face in a popular meme format,Jack's face in a popular meme format,Yes,Unity,In good humor?,Amused,"I think these memes are a fun way for us to get to know Jack as an individual and for him to get to know us. I think as long as it is done in a fun, humorous, respectful (obviously not portraying him as a killer or terrorist or something), and entertaining way then I think there is nothing wrong with it. Jack is a great professor and has a great personal relationship with his students. I feel he will mention if something is posted that is not school appropriate. As long as having to take down non-school appropriate memes is not a regular or common occurrence I think these are a great way for GIMM to express each cohort's personality. "
10/10/2023 14:30:02,Student,9th,No,"I've heard of him, but haven't had a class with him yet",No,Yes,,,,,,,,,
10/10/2023 14:39:08,Student,7th,Yes,,,,Yes,Yes,Jack's face on a famous character,Jack's face on a famous character,Yes,Unity,In good humor?,Amused,This really oils my gears
10/10/2023 14:48:18,Student,9th,No,I don't,Yes,Yes,,,,,,,,,
10/10/2023 14:49:38,Student,7th,Yes,,,,Not Yet (click the link),No,Jack's face on a famous character,Jack's face on a famous character,Yes,Unity,In good humor?,Amused,"jack will sometimes show what the 260 students are posting in their discord during his 340 class (where i have encountered them lol). he usually seems perplexed but amused, and all us students usually get a kick out of it too. some students in 340 have posted their own jack memes in the 340 class discord too"
10/10/2023 14:53:24,Student,8th,Yes,,,,Yes,Yes,Jack's face in a popular meme format,Jack's face in a popular meme format,Yes,Unity,In good humor?,Unsure,I believe Jack Memes has been the most successful way to drive GIMM community and unity.
10/10/2023 14:55:39,Student,8th,Yes,,,,Yes,No,Jack's face in a popular meme format,Jack's face in a popular meme format,Yes,Unity,In good humor?,Indifferent,
10/10/2023 15:01:05,Student,8th,Yes,,,,Yes,No,I haven't noticed any specific style,Jack's face in a popular meme format,Yes,Unity,In good humor?,Unsure,
10/10/2023 15:03:52,Student,8th,Yes,,,,Yes,Yes,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Yes,Unity,In good humor?,Amused,These memes are a good way to engage the GIMM community 
10/10/2023 15:18:18,Student,6th,No,I've taken one of his classes,No,Yes,,,,,,,,,
10/10/2023 15:22:58,Student,8th,Yes,,,,Yes,Yes,Jack's face on a famous character,Jack's face on a famous character,Yes,Unity,In good humor?,Amused,We need more Jack and Rick Astley memes
10/10/2023 15:36:41,Student,9th,No,I don't,No,Yes,,,,,,,,,
10/10/2023 15:41:47,Student,7th,Yes,,,,Yes,Yes,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Yes,Unity,In good humor?,Amused,
10/10/2023 15:55:26,Student,6th,Yes,,,,Not Yet (click the link),No,Jack's face on a famous character,Jack's face in a popular meme format,Unsure,Neutral / No Impact,Neutral,Amused,
10/10/2023 16:39:12,Student,6th,Yes,,,,Not Yet (click the link),No,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Unsure,Unity,In good humor?,Amused,
10/10/2023 16:59:05,Student,9th,No,I don't,No,No,,,,,,,,,
10/10/2023 17:23:01,Student,7th,Yes,,,,Yes,No,Jack's face as a texture on a 3D modeled sphere,Jack's face in a popular meme format,Yes,Neutral / No Impact,In good humor?,Amused,Steel Blue is the best color
10/10/2023 17:25:53,Student,6th,No,I've taken one of his classes,No,Yes,,,,,,,,,
10/10/2023 17:27:08,Student,7th,Yes,,,,Yes,Yes,SteelBlue Sucks Flag,SteelBlue Sucks Flag,Yes,Neutral / No Impact,In good humor?,Indifferent,There is a big difference from last year to this year. Last Year Jacks classes would mostly joke about how SteelBlue Sucks.
10/10/2023 17:30:20,Student,9th,No,"I've heard of him, but haven't had a class with him yet",Yes,Yes,,,,,,,,,
10/10/2023 18:08:37,Student,8th,Yes,,,,Yes,No,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Yes,Unity,In good humor?,Amused,Keep them coming I love them
10/10/2023 19:21:49,Student,6th,No,I've taken one of his classes,No,Yes,,,,,,,,,
10/10/2023 20:07:28,Student,8th,Yes,,,,Yes,Yes,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Yes,Unity,In good humor?,Amused,"Very good, very nice"
10/10/2023 20:10:40,Student,8th,Yes,,,,Yes,Yes,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Yes,Unity,In good humor?,Amused,We need more jack sphere.
10/10/2023 20:12:40,Student,7th,Yes,,,,Yes,No,Jack's face on a famous character,Jack's face on a famous character,Yes,Unity,In good humor?,Amused,they are funny
10/10/2023 20:32:02,Student,8th,Yes,,,,Yes,Yes,Jack's face in a popular meme format,Jack's face in a popular meme format,Yes,Unity,In good humor?,Amused,We Need More
10/10/2023 21:02:05,Student,7th,Yes,,,,Not Yet (click the link),No,Jack's face on a famous character,Jack's face on a famous character,Unsure,Neutral / No Impact,In good humor?,Unsure,
10/10/2023 21:20:43,Student,9th,No,I've taken one of his classes,No,Yes,,,,,,,,,
10/10/2023 21:28:52,Student,7th,Yes,,,,Yes,No,,Jack's face on a famous character,Yes,Neutral / No Impact,In good humor?,Amused,"Knowing people from every cohort who has taken Jack's class, it is interesting to see how the memes from Jack's classes evolve over the years"
10/10/2023 21:53:50,Student,8th,Yes,,,,Yes,Yes,Jack's face on a famous character,Jack's face on a famous character,Yes,Unity,In good humor?,Amused,
10/10/2023 22:01:41,Student,9th,Yes,,,,Not Yet (click the link),No,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Yes,Unity,In good humor?,Offended,"its funny, keep up the good work"
10/10/2023 22:22:32,Student,9th,No,I don't,No,Yes,,,,,,,,,
10/10/2023 22:34:41,Student,7th,Yes,,,,Yes,No,Jack's face as a texture on a 3D modeled sphere,Jack's face as a texture on a 3D modeled sphere,Yes,Unity,In good humor?,Amused,
10/11/2023 10:22:15,Student,7th,Yes,,,,Not Yet (click the link),Yes,Jack's face on a famous character,Jack's face as a texture on a 3D modeled sphere,Yes,Unity,In good humor?,Indifferent,Please continue and pass this down to every cohort that follows till the end of time
10/11/2023 12:25:01,Student,8th,Yes,,,,Yes,Yes,Jack's face on a famous character,Jack's face on a famous character,Yes,Unity,In good humor?,Amused,
